date,count
2021-09-23,28326
2021-09-24,25740
2021-09-25,23388
2021-09-26,26808
2021-09-27,34586
2021-09-28,29620
2021-09-29,28681
2021-09-30,26798
2021-10-01,24127
2021-10-02,21867
2021-10-03,27133
2021-10-04,36463
2021-10-05,32261
2021-10-06,32536
2021-10-07,32153
2021-10-08,29837
2021-10-09,27176
2021-10-10,31492
2021-10-11,43108
2021-10-12,40879
2021-10-13,40533
2021-10-14,39256
2021-10-15,36624
2021-10-16,31633
2021-10-17,37497
2021-10-18,49248
2021-10-19,44611
2021-10-20,43947
2021-10-21,38565
2021-10-22,34498
2021-10-23,29744
2021-10-24,30083
2021-10-25,39938
2021-10-26,35260
2021-10-27,36497
2021-10-28,35058
2021-10-29,33986
2021-10-30,28234
2021-10-31,29556
2021-11-01,37645
2021-11-02,31315
2021-11-03,29380
2021-11-04,27361
2021-11-05,24390
2021-11-06,22571
2021-11-07,25442
2021-11-08,36110
2021-11-09,34645
2021-11-10,35372
2021-11-11,33681
2021-11-12,31282
2021-11-13,27347
2021-11-14,29590
2021-11-15,42461
2021-11-16,38639
2021-11-17,38239
2021-11-18,37085
2021-11-19,33171
2021-11-20,29862
2021-11-21,31755
2021-11-22,42848
2021-11-23,40997
2021-11-24,39862
2021-11-25,37122
2021-11-26,33651
2021-11-27,28456
2021-11-28,33851
2021-11-29,47918
2021-11-30,47609
2021-12-01,47234
2021-12-02,42994
2021-12-03,39189
2021-12-04,33351
2021-12-05,35022
2021-12-06,51045
2021-12-07,48067
2021-12-08,49954
2021-12-09,48776
2021-12-10,44985
2021-12-11,41932
2021-12-12,46345
2021-12-13,76434
2021-12-14,90645
2021-12-15,99578
2021-12-16,93737
2021-12-17,84927
2021-12-18,78920
2021-12-19,78471
2021-12-20,117520
2021-12-21,129521
2021-12-22,138073
2021-12-23,136964
2021-12-24,117529
2021-12-25,59897
2021-12-26,98895
2021-12-27,155513
2021-12-28,170559
2021-12-29,223893
2021-12-30,192741
2021-12-31,152861
2022-01-01,99077
2022-01-02,148380
2022-01-03,193222
2022-01-04,234299
2022-01-05,183379
2022-01-06,150361
2022-01-07,104884
